Level,Color,Prestige,Price,Image
1,EMERALD,1,0_DIAMOND+2_SAPPHIRE+0_EMERALD+2_RUBY+0_ONYX,../path/to/image
1,EMERALD,1,0_DIAMOND+0_SAPPHIRE+0_EMERALD+3_RUBY+0_ONYX,../path/to/image
1,EMERALD,1,0_DIAMOND+0_SAPPHIRE+0_EMERALD+0_RUBY+4_ONYX,../path/to/image
1,RUBY,1,1_DIAMOND+1_SAPPHIRE+1_EMERALD+0_RUBY+1_ONYX,../path/to/image
1,RUBY,1,2_DIAMOND+1_SAPPHIRE+1_EMERALD+0_RUBY+1_ONYX,../path/to/image
1,RUBY,1,2_DIAMOND+0_SAPPHIRE+1_EMERALD+0_RUBY+2_ONYX,../path/to/image
1,RUBY,1,1_DIAMOND+0_SAPPHIRE+0_EMERALD+1_RUBY+3_ONYX,../path/to/image
1,RUBY,1,0_DIAMOND+2_SAPPHIRE+1_EMERALD+0_RUBY+0_ONYX,../path/to/image
1,RUBY,1,2_DIAMOND+0_SAPPHIRE+0_EMERALD+2_RUBY+0_ONYX,../path/to/image
1,RUBY,1,3_DIAMOND+0_SAPPHIRE+0_EMERALD+0_RUBY+0_ONYX,../path/to/image
1,RUBY,1,4_DIAMOND+0_SAPPHIRE+0_EMERALD+0_RUBY+0_ONYX,../path/to/image
2,ONYX,1,3_DIAMOND+2_SAPPHIRE+2_EMERALD+0_RUBY+0_ONYX,../path/to/image
2,ONYX,1,3_DIAMOND+0_SAPPHIRE+3_EMERALD+0_RUBY+2_ONYX,../path/to/image
2,ONYX,2,0_DIAMOND+1_SAPPHIRE+4_EMERALD+2_RUBY+0_ONYX,../path/to/image
2,ONYX,2,0_DIAMOND+0_SAPPHIRE+5_EMERALD+3_RUBY+0_ONYX,../path/to/image
2,ONYX,2,5_DIAMOND+0_SAPPHIRE+0_EMERALD+0_RUBY+0_ONYX,../path/to/image
2,ONYX,3,2_DIAMOND+0_SAPPHIRE+0_EMERALD+0_RUBY+6_ONYX,../path/to/image
2,SAPPHIRE,1,0_DIAMOND+2_SAPPHIRE+2_EMERALD+3_RUBY+0_ONYX,../path/to/image
2,SAPPHIRE,1,0_DIAMOND+2_SAPPHIRE+3_EMERALD+0_RUBY+3_ONYX,../path/to/image
2,SAPPHIRE,2,5_DIAMOND+3_SAPPHIRE+0_EMERALD+0_RUBY+0_ONYX,../path/to/image
2,SAPPHIRE,2,2_DIAMOND+0_SAPPHIRE+0_EMERALD+1_RUBY+4_ONYX,../path/to/image
2,SAPPHIRE,2,0_DIAMOND+5_SAPPHIRE+0_EMERALD+0_RUBY+0_ONYX,../path/to/image
2,SAPPHIRE,3,0_DIAMOND+6_SAPPHIRE+0_EMERALD+0_RUBY+0_ONYX,../path/to/image
2,DIAMOND,1,0_DIAMOND+0_SAPPHIRE+3_EMERALD+2_RUBY+2_ONYX,../path/to/image
2,DIAMOND,1,2_DIAMOND+3_SAPPHIRE+0_EMERALD+3_RUBY+0_ONYX,../path/to/image
2,DIAMOND,2,0_DIAMOND+0_SAPPHIRE+1_EMERALD+4_RUBY+2_ONYX,../path/to/image
2,DIAMOND,2,0_DIAMOND+0_SAPPHIRE+0_EMERALD+5_RUBY+3_ONYX,../path/to/image
2,DIAMOND,2,0_DIAMOND+0_SAPPHIRE+0_EMERALD+5_RUBY+0_ONYX,../path/to/image
2,DIAMOND,3,6_DIAMOND+0_SAPPHIRE+0_EMERALD+0_RUBY+0_ONYX,../path/to/image
2,EMERALD,1,3_DIAMOND+0_SAPPHIRE+2_EMERALD+3_RUBY+0_ONYX,../path/to/image
2,EMERALD,1,2_DIAMOND+3_SAPPHIRE+0_EMERALD+0_RUBY+2_ONYX,../path/to/image
2,EMERALD,2,4_DIAMOND+2_SAPPHIRE+0_EMERALD+0_RUBY+1_ONYX,../path/to/image
2,EMERALD,2,0_DIAMOND+5_SAPPHIRE+3_EMERALD+0_RUBY+0_ONYX,../path/to/image
2,EMERALD,2,0_DIAMOND+0_SAPPHIRE+5_EMERALD+0_RUBY+0_ONYX,../path/to/image
2,EMERALD,3,0_DIAMOND+0_SAPPHIRE+6_EMERALD+0_RUBY+0_ONYX,../path/to/image
2,RUBY,1,2_DIAMOND+0_SAPPHIRE+0_EMERALD+2_RUBY+3_ONYX,../path/to/image
2,RUBY,1,0_DIAMOND+3_SAPPHIRE+0_EMERALD+2_RUBY+3_ONYX,../path/to/image
2,RUBY,2,1_DIAMOND+4_SAPPHIRE+2_EMERALD+0_RUBY+0_ONYX,../path/to/image
2,RUBY,2,3_DIAMOND+0_SAPPHIRE+0_EMERALD+0_RUBY+5_ONYX,../path/to/image
2,RUBY,2,0_DIAMOND+0_SAPPHIRE+0_EMERALD+0_RUBY+5_ONYX,../path/to/image
2,RUBY,3,0_DIAMOND+0_SAPPHIRE+0_EMERALD+6_RUBY+0_ONYX,../path/to/image
3,ONYX,3,3_DIAMOND+3_SAPPHIRE+5_EMERALD+3_RUBY+0_ONYX,../path/to/image
3,ONYX,4,0_DIAMOND+0_SAPPHIRE+0_EMERALD+7_RUBY+0_ONYX,../path/to/image
3,ONYX,4,0_DIAMOND+0_SAPPHIRE+3_EMERALD+6_RUBY+3_ONYX,../path/to/image
3,ONYX,5,0_DIAMOND+0_SAPPHIRE+0_EMERALD+7_RUBY+3_ONYX,../path/to/image
3,SAPPHIRE,3,3_DIAMOND+0_SAPPHIRE+3_EMERALD+3_RUBY+5_ONYX,../path/to/image
3,SAPPHIRE,4,7_DIAMOND+0_SAPPHIRE+0_EMERALD+0_RUBY+0_ONYX,../path/to/image
3,SAPPHIRE,4,6_DIAMOND+3_SAPPHIRE+0_EMERALD+0_RUBY+3_ONYX,../path/to/image
3,SAPPHIRE,5,7_DIAMOND+3_SAPPHIRE+0_EMERALD+0_RUBY+0_ONYX,../path/to/image
3,DIAMOND,3,0_DIAMOND+3_SAPPHIRE+3_EMERALD+5_RUBY+3_ONYX,../path/to/image
3,DIAMOND,4,0_DIAMOND+0_SAPPHIRE+0_EMERALD+0_RUBY+7_ONYX,../path/to/image
3,DIAMOND,4,3_DIAMOND+0_SAPPHIRE+0_EMERALD+3_RUBY+6_ONYX,../path/to/image
3,DIAMOND,5,3_DIAMOND+0_SAPPHIRE+0_EMERALD+0_RUBY+7_ONYX,../path/to/image
3,EMERALD,3,5_DIAMOND+3_SAPPHIRE+0_EMERALD+3_RUBY+3_ONYX,../path/to/image
3,EMERALD,4,0_DIAMOND+7_SAPPHIRE+0_EMERALD+0_RUBY+0_ONYX,../path/to/image
3,EMERALD,4,3_DIAMOND+6_SAPPHIRE+3_EMERALD+0_RUBY+0_ONYX,../path/to/image
3,EMERALD,5,0_DIAMOND+7_SAPPHIRE+3_EMERALD+0_RUBY+0_ONYX,../path/to/image
3,RUBY,3,3_DIAMOND+5_SAPPHIRE+3_EMERALD+0_RUBY+3_ONYX,../path/to/image
3,RUBY,4,0_DIAMOND+0_SAPPHIRE+7_EMERALD+0_RUBY+0_ONYX,../path/to/image
3,RUBY,4,0_DIAMOND+3_SAPPHIRE+6_EMERALD+3_RUBY+0_ONYX,../path/to/image
3,RUBY,5,0_DIAMOND+0_SAPPHIRE+7_EMERALD+3_RUBY+0_ONYX,../path/to/image
